0,1,2
137.99,153.43,94.47
134.37,146.45,97.33
138.93,149.57,105.57
146.72,157.85,114.35
151.37,162.49,118.52
156.8,166.64,123.28
159.0,167.76,125.96
160.96,167.88,126.92
163.58,168.58,128.58
162.69,166.43,126.77
162.42,167.1,124.03
159.94,167.73,118.79
158.96,167.01,118.16
161.04,167.32,124.64
162.98,166.14,127.42
165.68,167.44,130.5
161.51,163.31,123.31
156.55,162.35,121.15
152.93,159.05,122.41
153.19,155.75,125.99
157.42,155.94,134.22
165.08,160.36,140.92
165.33,158.75,140.62
156.45,149.9,131.48
143.77,140.48,119.96
136.69,136.55,110.75
134.51,134.83,104.83
138.84,142.17,109.52
145.87,150.03,114.63
152.8,160.28,119.8
155.23,168.05,121.44
156.05,166.93,119.69
157.27,165.11,121.39
160.88,169.24,125.08
164.05,173.05,127.17
162.37,173.73,126.61
156.63,167.42,124.12
151.63,156.74,124.08
157.56,158.52,133.48
160.44,161.32,139.64
157.75,156.35,136.55
153.76,150.56,131.32
152.31,149.07,128.27
149.69,146.01,124.59
147.96,144.05,120.29
147.39,144.71,117.83
147.07,147.59,119.55
147.22,150.74,121.46
143.98,149.94,118.26
146.9,155.13,120.26
152.06,165.98,119.4
157.37,171.93,116.69
155.46,169.86,116.14
154.16,165.96,120.36
153.19,159.87,119.43
150.54,152.3,113.9
145.64,147.67,106.97
146.95,153.36,107.97
153.35,161.99,113.59
155.62,166.18,117.7
158.29,169.48,120.27
161.88,174.79,120.82
165.27,177.31,121.39
165.39,176.79,120.79
161.89,173.69,119.81
162.98,172.06,122.62
161.56,166.48,124.0
160.51,161.71,125.07
157.53,159.4,122.27
149.65,157.14,113.63
147.76,161.93,106.94
146.81,164.53,106.81
148.51,166.55,112.55
148.4,166.08,115.84
147.3,165.7,114.7
145.0,164.43,110.44
139.92,161.96,104.88
139.93,161.25,102.01
145.56,168.28,104.24
146.52,169.96,103.92
142.67,166.47,98.47
136.68,160.32,92.56
141.6,163.48,96.41
145.86,168.41,95.01
147.84,169.36,94.0
145.93,166.89,94.37
145.04,164.3,99.52
139.88,160.08,101.08
136.66,156.66,95.26
127.97,147.97,85.45
135.74,153.5,93.5
135.55,152.12,96.12
138.12,155.64,101.92
145.38,160.39,109.39
149.94,163.5,113.16
153.95,167.15,117.91
154.63,167.06,119.81
158.99,167.87,125.27
160.75,166.57,126.04
158.27,164.67,121.53
157.82,166.06,116.85
160.63,169.8,116.38
160.75,169.71,116.71
162.23,169.75,120.91
164.16,169.67,124.35
165.61,169.57,125.85
161.47,164.74,123.95
159.93,165.26,126.65
154.03,159.55,126.15
150.11,154.28,123.58
150.39,151.31,126.27
153.0,151.64,128.68
149.85,148.62,125.18
137.96,138.13,110.89
131.57,134.12,106.23
129.65,132.65,105.17
132.71,135.71,107.35
139.73,143.5,110.92
148.36,152.22,116.5
153.66,159.78,118.26
151.11,160.14,112.95
149.12,158.64,109.84
151.67,160.75,115.63
159.07,167.85,125.17
166.85,175.85,132.05
163.75,174.31,130.15
157.78,167.18,129.74
151.84,156.04,126.16
158.81,158.09,133.65
158.75,156.99,136.15
153.9,152.02,132.38
146.93,144.98,124.38
148.43,148.43,123.33
155.88,158.2,125.95
156.97,160.01,124.69
152.58,156.73,120.82
148.32,152.52,118.2
145.98,151.54,118.66
143.96,152.04,119.04
147.28,158.09,121.81
150.08,165.29,119.04
154.88,169.33,118.03
154.28,168.52,116.16
152.2,164.16,118.64
153.46,160.97,119.17
152.17,154.61,114.61
148.16,150.04,110.56
148.69,152.52,112.41
154.68,160.71,119.55
156.25,163.53,122.79
158.51,166.9,124.3
161.63,174.07,124.07
162.52,175.52,120.56
162.79,175.95,119.79
158.97,170.77,118.53
158.82,166.56,120.97
161.82,164.01,125.75
164.3,163.54,131.5
160.57,160.88,127.62
151.82,158.9,117.75
147.83,161.42,109.21
142.87,160.11,104.0
142.39,158.71,106.65
138.5,153.66,106.94
139.56,154.36,108.16
135.35,153.22,104.42
132.59,153.51,99.83
135.93,156.93,99.65
139.6,162.84,100.72
140.52,165.52,99.63
137.52,163.93,93.14
135.07,160.93,89.63
142.25,166.88,93.98
147.01,171.26,95.75
146.94,170.5,93.02
142.78,165.57,90.82
137.91,158.25,92.3
134.27,153.73,94.41
132.29,151.81,90.89
128.0,148.41,83.91
141.42,159.42,99.82
138.58,157.42,98.38
138.75,160.83,100.87
145.67,163.57,108.38
149.38,164.38,110.82
152.33,166.53,113.13
150.84,163.76,113.34
155.51,164.51,122.23
153.55,160.07,120.47
152.77,160.98,115.39
151.77,161.77,109.69
157.47,168.79,113.95
159.59,170.63,117.15
162.0,171.6,119.44
161.04,171.07,116.23
163.79,171.78,120.27
163.04,169.6,126.2
162.63,167.86,134.0
156.28,160.68,132.72
152.31,155.78,128.37
144.95,145.7,117.67
142.67,143.49,112.09
141.06,144.17,110.89
135.2,139.91,104.92
132.86,138.86,105.04
134.01,139.21,106.69
138.42,142.22,112.34
144.76,148.32,116.78
148.48,152.48,118.12
151.81,157.17,117.93
145.57,152.57,109.37
144.77,153.37,108.97
147.91,156.51,113.59
157.53,166.81,124.15
166.27,177.03,131.71
161.14,172.94,128.02
153.76,164.03,126.14
150.7,154.46,123.78
158.96,157.76,132.76
156.48,154.08,133.48
147.66,145.06,125.66
147.83,146.85,125.35
154.15,157.96,125.69
163.5,172.79,126.54
164.45,174.56,124.41
158.34,168.84,119.23
148.85,158.15,115.18
141.06,148.14,113.06
141.49,149.61,117.21
144.28,154.38,119.54
149.23,161.24,120.08
150.9,164.76,116.24
152.54,166.54,115.46
150.13,162.89,115.25
153.08,162.0,118.4
151.26,153.82,116.42
150.15,151.47,117.27
151.56,151.79,119.61
154.13,157.65,123.49
155.05,160.81,124.45
154.24,161.17,121.04
156.39,168.96,120.57
158.81,172.33,118.53
157.2,171.2,116.24
153.97,166.89,115.05
155.2,164.09,119.28
157.67,160.67,123.07
160.63,160.08,128.35
159.03,159.29,125.95
152.06,159.15,117.7
149.65,163.21,110.78
146.03,163.31,105.29
142.38,159.77,103.64
134.85,149.97,101.72
134.37,147.77,100.57
130.81,146.81,99.95
129.22,148.19,95.42
132.66,153.9,95.1
136.07,159.83,95.75
135.89,161.22,92.71
135.61,162.2,89.07
140.22,165.46,92.1
146.1,170.9,96.5
147.54,171.54,95.94
145.55,169.55,92.33
139.11,161.91,88.07
132.16,153.49,85.36
127.69,146.21,84.87
128.93,148.15,85.07
130.24,151.21,82.23
143.34,161.34,101.42
142.1,161.2,101.8
144.77,165.93,108.29
147.73,166.65,110.73
151.76,167.88,113.2
151.75,166.11,110.79
151.33,163.81,112.33
153.25,161.54,120.11
150.42,156.62,120.18
148.32,154.1,113.94
145.4,152.8,108.4
151.47,161.32,111.52
153.55,166.52,113.66
153.93,167.55,113.82
154.33,167.9,110.6
160.93,171.75,116.87
162.19,170.95,125.42
163.14,168.19,136.03
156.71,158.91,133.2
153.79,154.36,129.78
142.9,143.34,114.58
142.09,143.09,110.85
141.8,145.35,107.24
142.78,149.14,108.66
142.66,149.38,112.04
147.35,154.72,119.06
150.9,155.82,124.18
154.6,156.68,126.41
151.88,155.9,122.96
151.88,157.08,118.88
148.53,155.53,113.65
147.95,155.27,113.31
152.0,159.04,120.15
155.87,165.44,123.43
160.58,172.98,124.46
156.77,170.63,117.74
151.34,163.43,117.98
152.03,157.07,123.11
155.07,154.83,127.59
154.05,151.97,130.89
152.12,149.84,131.39
152.82,153.31,129.76
157.94,164.58,128.09
164.95,178.03,125.04
165.56,182.07,120.89
159.62,176.0,116.2
148.0,160.75,111.49
139.7,147.75,113.24
134.67,139.91,114.63
137.17,142.75,115.49
146.16,156.12,118.52
148.59,162.46,112.13
151.45,165.69,112.53
148.73,161.85,111.61
152.82,162.15,117.72
149.7,151.34,118.17
151.19,150.1,123.11
153.18,151.51,128.94
152.29,153.38,125.88
151.5,156.31,122.51
149.1,156.64,117.19
152.63,164.7,118.66
154.76,168.47,116.49
151.15,167.3,111.55
151.03,165.19,112.31
151.14,163.19,115.65
154.5,160.7,119.82
154.38,158.1,118.66
153.33,157.46,117.38
150.43,159.93,112.06
148.38,163.11,106.39
148.63,165.77,105.13
147.57,166.4,101.86
140.63,158.15,101.25
133.91,148.95,98.63
128.07,143.23,94.43
127.39,145.22,94.11
128.23,149.96,90.56
131.24,156.29,90.53
129.72,156.23,87.02
136.0,161.04,91.56
144.61,167.77,97.65
149.21,172.89,100.03
149.53,173.48,99.18
143.84,167.68,93.4
136.74,158.94,86.58
128.72,149.0,79.37
122.83,143.07,78.09
128.66,149.41,82.71
134.85,156.58,84.16
142.55,160.55,100.55
147.85,166.49,106.81
149.97,169.13,111.29
150.04,168.48,112.32
152.14,168.34,113.66
